# LEAN_PROOF_INDEX.txt — Auto-generated 2026-02-12
# 249 Lean 4 proof files
# Total theorems+lemmas: 1230
#
# Format: path | description | theorem_count
#
projects/Lean4/QFD/AdjointStability_Complete.lean | QFD Appendix A: Vacuum Stability Theorem | 8
projects/Lean4/QFD/AngularSelection.lean | Scalar product induced by the spacetime scalar part on bivectors. | 1
projects/Lean4/QFD/Atomic/ChaosCore.lean | Minimal data for the spin–orbit vibration system. | 0
projects/Lean4/QFD/Atomic/LyapunovCore.lean | Compact representation of the coupled phase state (r,p,S). | 0
projects/Lean4/QFD/Atomic/LyapunovInstability.lean | Lyapunov Stability vs. Chaos | 2
projects/Lean4/QFD/Atomic/ResonanceDynamics.lean | Coupled Oscillator Dynamics: The Mechanism of Spectroscopy | 5
projects/Lean4/QFD/Atomic/ResonanceDynamicsCore.lean | Basic inertial component with mass, response time, phase, and orientation. | 0
projects/Lean4/QFD/Atomic/SpinOrbitChaos.lean | The Genesis of Chaos: Spin-Linear Coupling | 2
projects/Lean4/QFD/BivectorClasses_Complete.lean | QFD Appendix A: Bivector Trichotomy Theorem | 7
projects/Lean4/QFD/BlackHole/BlackHole_Saturation.lean | Black Hole Saturation | 1
projects/Lean4/QFD/BlackHole/SaturationLimit.lean | # Vacuum Saturation Density | 16
projects/Lean4/QFD/Charge/Asymptotic_Charge_Fraction.lean | Asymptotic Charge Fraction | 1
projects/Lean4/QFD/Charge/Coulomb.lean | Gate C-L3: Virtual Force (Derivation of Coulomb's Law) | 3
projects/Lean4/QFD/Charge/GeometricCharge.lean | # 1. PRIMARY INPUTS: The Vacuum Geometry | 5
projects/Lean4/QFD/Charge/Potential.lean | Gate C-L2: Harmonic Decay (Deriving 1/r from 3D Geometry) | 3
projects/Lean4/QFD/Charge/Quantization.lean | # Physical Significance | 4
projects/Lean4/QFD/Charge/ShellTheorem.lean | Electrostatic Shell Theorem: Monopoles Appear as Point Charges | 6
projects/Lean4/QFD/Charge/Vacuum.lean | Gate C-L1: Vacuum Floor and Refractive Polarity | 1
projects/Lean4/QFD/Classical/Conservation.lean | Energy Conservation & Bound States | 7
projects/Lean4/QFD/Conservation/NeutrinoID.lean | ## Implications for QFD | 5
projects/Lean4/QFD/Conservation/NeutrinoID_Automated.lean | Disjoint bivectors commute (all four indices distinct). | 4
projects/Lean4/QFD/Conservation/NeutrinoID_Fixed.lean | The Neutrino Remainder Theorem | 3
projects/Lean4/QFD/Conservation/NeutrinoID_Production.lean | Neutrino Electromagnetic Decoupling - Production Version | 4
projects/Lean4/QFD/Conservation/NeutrinoID_Simple.lean | Neutrino Electromagnetic Decoupling - Simplified Version | 3
projects/Lean4/QFD/Conservation/NeutrinoMixing.lean | Neutrino Mixing (PMNS Matrix) | 2
projects/Lean4/QFD/Conservation/Noether.lean | Generalized Noether Theorem (6D Conservation) | 2
projects/Lean4/QFD/Conservation/Unitarity.lean | The Unitarity Theorem (Resolving the Information Paradox) | 3
projects/Lean4/QFD/Cosmology/AchromaticDrag.lean | QFD Achromatic Drag: Formal Proof | 10
projects/Lean4/QFD/Cosmology/AxisExtraction.lean | # Phase 2: Full Uniqueness (AxisSet = {n, -n}) | 17
projects/Lean4/QFD/Cosmology/CoaxialAlignment.lean | # Uniqueness of Axis from AxisSet | 3
projects/Lean4/QFD/Cosmology/GalacticScaling.lean | # Vacuum Density Profile | 16
projects/Lean4/QFD/Cosmology/HubbleDrift.lean | Hubble Flow as Drift | 1
projects/Lean4/QFD/Cosmology/KernelAxis.lean | Kernel property on [0,1]: maximum at 1 with uniqueness. | 4
projects/Lean4/QFD/Cosmology/LightCurveStretch.lean | QFD: Type Ia Supernova Light Curve Stretch Factor | 7
projects/Lean4/QFD/Cosmology/OctupoleExtraction.lean | # Algebraic Bound on P₃ | 8
projects/Lean4/QFD/Cosmology/PhotonScatteringKdV.lean | Photon Scattering as KdV Soliton Interaction | 2
projects/Lean4/QFD/Cosmology/Polarization.lean | # Legendre Polynomial Definitions (for Polarization Module) | 6
projects/Lean4/QFD/Cosmology/RadiativeTransfer.lean | QFD Two-Channel Radiative Transfer | 6
projects/Lean4/QFD/Cosmology/RealTimeCosmology.lean | Real-Time Cosmological Drift (Sandage-Loeb Test) | 1
projects/Lean4/QFD/Cosmology/ScatteringBias.lean | QFD Scattering Bias and Distance Inflation | 6
projects/Lean4/QFD/Cosmology/VacuumDensityMatch.lean | Resolution of the Vacuum Catastrophe | 2
projects/Lean4/QFD/Cosmology/VacuumRefraction.lean | QFD Vacuum Refraction and CMB Power Spectrum Modulation | 5
projects/Lean4/QFD/Cosmology/VolumeBalance.lean | # 1. THE VACUUM PARAMETERS | 6
projects/Lean4/QFD/Electrodynamics/AharonovBohm.lean | Aharonov-Bohm Phase | 2
projects/Lean4/QFD/Electrodynamics/CerenkovReal.lean | Geometric Cerenkov Radiation | 1
projects/Lean4/QFD/Electrodynamics/DispersionRelation.lean | Vacuum Dispersion Relation | 1
projects/Lean4/QFD/Electrodynamics/LarmorPrecession.lean | Larmor Precession Geometry | 2
projects/Lean4/QFD/Electrodynamics/MagneticHelicity.lean | Magnetic Helicity (Topological Field Knots) | 2
projects/Lean4/QFD/Electrodynamics/MaxwellReal.lean | Field is a bivector-valued field. | 1
projects/Lean4/QFD/Electrodynamics/NoMonopoles.lean | The Absence of Magnetic Monopoles | 1
projects/Lean4/QFD/Electrodynamics/PoyntingTheorem.lean | The 6D Poynting Theorem (Geometric Energy Flow) | 3
projects/Lean4/QFD/Electrodynamics/ProcaReal.lean | Real Proca Equation (Massive Photons) | 1
projects/Lean4/QFD/Electron/AlphaCirc.lean | Circulation coupling on the Hill vortex boundary | 1
projects/Lean4/QFD/Electron/AxisAlignment.lean | Gate C-L5: Axis Alignment (The Singular Attribute) | 1
projects/Lean4/QFD/Electron/CirculationTopology.lean | The D-Flow Identity: Topological Linear Density | 1
projects/Lean4/QFD/Electron/HillVortex.lean | Gate C-L4: The Hill Spherical Vortex Structure | 3
projects/Lean4/QFD/EmergentAlgebra.lean | Algebraic Emergence of 4D Spacetime | 17
projects/Lean4/QFD/EmergentAlgebra_Heavy.lean | Heavyweight Emergent Algebra | 12
projects/Lean4/QFD/Empirical/CoreCompression.lean | Gate C-2: The Core Compression Law (CCL) | 3
projects/Lean4/QFD/GA/BasisOperations.lean | Basis Operations for Cl(3,3) | 2
projects/Lean4/QFD/GA/BasisProducts.lean | Basis Product Library for Cl(3,3) | 17
